Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2019,Quebec,Total electric charging and alternative fuelling stations,24,1901
2019,Quebec,Compressed natural gas,24,7
2019,Quebec,Electric,24,1747
2019,Quebec,Propane,24,146
2020,Quebec,Total electric charging and alternative fuelling stations,24,2275
2020,Quebec,Electric,24,2121
2021,Quebec,Total electric charging and alternative fuelling stations,24,2652
2021,Quebec,Electric,24,2496
2021,Quebec,Propane,24,148
2022,Quebec,Total electric charging and alternative fuelling stations,24,3187
2022,Quebec,Compressed natural gas,24,9
2022,Quebec,Electric,24,3028
2022,Quebec,Hydrogen,24,2
2023,Quebec,Total electric charging and alternative fuelling stations,24,3972
2023,Quebec,Compressed natural gas,24,10
2023,Quebec,Electric,24,3810
2023,Quebec,Hydrogen,24,3
2023,Quebec,Propane,24,149
2024,Quebec,Total electric charging and alternative fuelling stations,24,4661
2024,Quebec,Electric,24,4498
2024,Quebec,Propane,24,150
2025,Quebec,Total electric charging and alternative fuelling stations,24,5255
2025,Quebec,Compressed natural gas,24,13
2025,Quebec,Electric,24,5086
2025,Quebec,Hydrogen,24,5
2025,Quebec,Propane,24,151
2014,Saskatchewan,Total electric charging and alternative fuelling stations,47,8
2014,Saskatchewan,Electric,47,3
2014,Saskatchewan,Propane,47,5
2015,Saskatchewan,Total electric charging and alternative fuelling stations,47,16
2015,Saskatchewan,Electric,47,10
2015,Saskatchewan,Propane,47,6
2016,Saskatchewan,Total electric charging and alternative fuelling stations,47,20
2016,Saskatchewan,Electric,47,14
2017,Saskatchewan,Total electric charging and alternative fuelling stations,47,25
2017,Saskatchewan,Electric,47,19
2018,Saskatchewan,Total electric charging and alternative fuelling stations,47,93
2018,Saskatchewan,Electric,47,21
2018,Saskatchewan,Propane,47,72
2019,Saskatchewan,Total electric charging and alternative fuelling stations,47,101
2019,Saskatchewan,Electric,47,27
2019,Saskatchewan,Propane,47,74
2020,Saskatchewan,Total electric charging and alternative fuelling stations,47,109
2020,Saskatchewan,Electric,47,35
2021,Saskatchewan,Total electric charging and alternative fuelling stations,47,129
2021,Saskatchewan,Electric,47,55
2022,Saskatchewan,Total electric charging and alternative fuelling stations,47,169
2022,Saskatchewan,Compressed natural gas,47,1
2022,Saskatchewan,Electric,47,94
2023,Saskatchewan,Total electric charging and alternative fuelling stations,47,211
2023,Saskatchewan,Electric,47,136
2024,Saskatchewan,Total electric charging and alternative fuelling stations,47,247
2024,Saskatchewan,Electric,47,172
2025,Saskatchewan,Total electric charging and alternative fuelling stations,47,276
2025,Saskatchewan,Electric,47,201
