Year,Sex,Age group,Value
2006,Males,50 to 54 years,1
2006,Females,50 to 54 years,0
2006,Both sexes,55 to 59 years,3
2006,Males,55 to 59 years,3
2006,Females,55 to 59 years,0
2006,Both sexes,60 to 64 years,1
2006,Males,60 to 64 years,1
2006,Females,60 to 64 years,0
2006,Both sexes,65 to 69 years,2
2006,Males,65 to 69 years,2
2006,Females,65 to 69 years,0
2006,Both sexes,70 to 74 years,0
2006,Males,70 to 74 years,0
2006,Females,70 to 74 years,0
2006,Both sexes,75 to 79 years,2
2006,Males,75 to 79 years,0
2006,Females,75 to 79 years,2
2006,Both sexes,80 to 84 years,2
2006,Males,80 to 84 years,1
2006,Females,80 to 84 years,1
2006,Both sexes,85 to 89 years,0
2006,Males,85 to 89 years,0
2006,Females,85 to 89 years,0
2006,Both sexes,90 years and over,1
2006,Males,90 years and over,0
2006,Females,90 years and over,1
2006,Both sexes,"Age, not stated",0
2006,Males,"Age, not stated",0
2006,Females,"Age, not stated",0
2007,,,4
2007,Males,"Total, all ages",3
2007,Females,"Total, all ages",1
2007,Both sexes,Under 1 years,0
2007,Males,Under 1 years,0
2007,Females,Under 1 years,0
2007,Both sexes,1 to 4 years,1
2007,Males,1 to 4 years,1
2007,Females,1 to 4 years,0
2007,Both sexes,5 to 9 years,0
2007,Males,5 to 9 years,0
2007,Females,5 to 9 years,0
2007,Both sexes,10 to 14 years,0
2007,Males,10 to 14 years,0
2007,Females,10 to 14 years,0
2007,Both sexes,15 to 19 years,0
2007,Males,15 to 19 years,0
2007,Females,15 to 19 years,0
2007,Both sexes,20 to 24 years,0
2007,Males,20 to 24 years,0
2007,Females,20 to 24 years,0
2007,Both sexes,25 to 29 years,0
2007,Males,25 to 29 years,0
2007,Females,25 to 29 years,0
2007,Both sexes,30 to 34 years,0
2007,Males,30 to 34 years,0
2007,Females,30 to 34 years,0
2007,Both sexes,35 to 39 years,0
2007,Males,35 to 39 years,0
2007,Females,35 to 39 years,0
2007,Both sexes,40 to 44 years,1
2007,Males,40 to 44 years,1
2007,Females,40 to 44 years,0
2007,Both sexes,45 to 49 years,0
2007,Males,45 to 49 years,0
2007,Females,45 to 49 years,0
2007,Both sexes,50 to 54 years,2
2007,Males,50 to 54 years,1
2007,Females,50 to 54 years,1
2007,Both sexes,55 to 59 years,0
2007,Males,55 to 59 years,0
2007,Females,55 to 59 years,0
2007,Both sexes,60 to 64 years,0
2007,Males,60 to 64 years,0
2007,Females,60 to 64 years,0
2007,Both sexes,65 to 69 years,0
2007,Males,65 to 69 years,0
2007,Females,65 to 69 years,0
2007,Both sexes,70 to 74 years,0
2007,Males,70 to 74 years,0
2007,Females,70 to 74 years,0
2007,Both sexes,75 to 79 years,0
2007,Males,75 to 79 years,0
2007,Females,75 to 79 years,0
2007,Both sexes,80 to 84 years,0
2007,Males,80 to 84 years,0
2007,Females,80 to 84 years,0
2007,Both sexes,85 to 89 years,0
2007,Males,85 to 89 years,0
2007,Females,85 to 89 years,0
2007,Both sexes,90 years and over,0
2007,Males,90 years and over,0
2007,Females,90 years and over,0
2007,Both sexes,"Age, not stated",0
2007,Males,"Age, not stated",0
2007,Females,"Age, not stated",0
2008,,,2
2008,Males,"Total, all ages",2
2008,Females,"Total, all ages",0
2008,Both sexes,Under 1 years,0
2008,Males,Under 1 years,0
2008,Females,Under 1 years,0
2008,Both sexes,1 to 4 years,1
2008,Males,1 to 4 years,1
2008,Females,1 to 4 years,0
2008,Both sexes,5 to 9 years,0
2008,Males,5 to 9 years,0
2008,Females,5 to 9 years,0
2008,Both sexes,10 to 14 years,0
2008,Males,10 to 14 years,0
2008,Females,10 to 14 years,0
2008,Both sexes,15 to 19 years,0
2008,Males,15 to 19 years,0
2008,Females,15 to 19 years,0
2008,Both sexes,20 to 24 years,0
2008,Males,20 to 24 years,0
2008,Females,20 to 24 years,0
2008,Both sexes,25 to 29 years,0
2008,Males,25 to 29 years,0
2008,Females,25 to 29 years,0
2008,Both sexes,30 to 34 years,0
2008,Males,30 to 34 years,0
2008,Females,30 to 34 years,0
2008,Both sexes,35 to 39 years,0
2008,Males,35 to 39 years,0
2008,Females,35 to 39 years,0
2008,Both sexes,40 to 44 years,0
2008,Males,40 to 44 years,0
2008,Females,40 to 44 years,0
2008,Both sexes,45 to 49 years,0
2008,Males,45 to 49 years,0
2008,Females,45 to 49 years,0
2008,Both sexes,50 to 54 years,1
2008,Males,50 to 54 years,1
2008,Females,50 to 54 years,0
2008,Both sexes,55 to 59 years,0
2008,Males,55 to 59 years,0
2008,Females,55 to 59 years,0
2008,Both sexes,60 to 64 years,0
2008,Males,60 to 64 years,0
2008,Females,60 to 64 years,0
2008,Both sexes,65 to 69 years,0
2008,Males,65 to 69 years,0
2008,Females,65 to 69 years,0
2008,Both sexes,70 to 74 years,0
2008,Males,70 to 74 years,0
2008,Females,70 to 74 years,0
2008,Both sexes,75 to 79 years,0
2008,Males,75 to 79 years,0
2008,Females,75 to 79 years,0
2008,Both sexes,80 to 84 years,0
2008,Males,80 to 84 years,0
2008,Females,80 to 84 years,0
2008,Both sexes,85 to 89 years,0
2008,Males,85 to 89 years,0
2008,Females,85 to 89 years,0
2008,Both sexes,90 years and over,0
2008,Males,90 years and over,0
2008,Females,90 years and over,0
2008,Both sexes,"Age, not stated",0
2008,Males,"Age, not stated",0
2008,Females,"Age, not stated",0
2009,,,5
2009,Males,"Total, all ages",4
2009,Females,"Total, all ages",1
2009,Both sexes,Under 1 years,0
2009,Males,Under 1 years,0
2009,Females,Under 1 years,0
2009,Both sexes,1 to 4 years,0
2009,Males,1 to 4 years,0
2009,Females,1 to 4 years,0
2009,Both sexes,5 to 9 years,0
2009,Males,5 to 9 years,0
2009,Females,5 to 9 years,0
2009,Both sexes,10 to 14 years,0
2009,Males,10 to 14 years,0
2009,Females,10 to 14 years,0
2009,Both sexes,15 to 19 years,0
2009,Males,15 to 19 years,0
2009,Females,15 to 19 years,0
2009,Both sexes,20 to 24 years,0
2009,Males,20 to 24 years,0
2009,Females,20 to 24 years,0
2009,Both sexes,25 to 29 years,0
2009,Males,25 to 29 years,0
2009,Females,25 to 29 years,0
2009,Both sexes,30 to 34 years,0
2009,Males,30 to 34 years,0
2009,Females,30 to 34 years,0
2009,Both sexes,35 to 39 years,0
2009,Males,35 to 39 years,0
2009,Females,35 to 39 years,0
2009,Both sexes,40 to 44 years,1
2009,Males,40 to 44 years,1
2009,Females,40 to 44 years,0
2009,Both sexes,45 to 49 years,1
2009,Males,45 to 49 years,1
2009,Females,45 to 49 years,0
2009,Both sexes,50 to 54 years,1
2009,Males,50 to 54 years,1
2009,Females,50 to 54 years,0
2009,Both sexes,55 to 59 years,1
2009,Males,55 to 59 years,0
2009,Females,55 to 59 years,1
2009,Both sexes,60 to 64 years,0
2009,Males,60 to 64 years,0
2009,Females,60 to 64 years,0
2009,Both sexes,65 to 69 years,0
2009,Males,65 to 69 years,0
2009,Females,65 to 69 years,0
2009,Both sexes,70 to 74 years,0
2009,Males,70 to 74 years,0
2009,Females,70 to 74 years,0
2009,Both sexes,75 to 79 years,1
2009,Males,75 to 79 years,1
2009,Females,75 to 79 years,0
2009,Both sexes,80 to 84 years,0
2009,Males,80 to 84 years,0
2009,Females,80 to 84 years,0
2009,Both sexes,85 to 89 years,0
2009,Males,85 to 89 years,0
2009,Females,85 to 89 years,0
2009,Both sexes,90 years and over,0
2009,Males,90 years and over,0
2009,Females,90 years and over,0
2009,Both sexes,"Age, not stated",0
2009,Males,"Age, not stated",0
2009,Females,"Age, not stated",0
2010,,,50
2010,Males,"Total, all ages",32
2010,Females,"Total, all ages",18
2010,Both sexes,Under 1 years,0
2010,Males,Under 1 years,0
2010,Females,Under 1 years,0
2010,Both sexes,1 to 4 years,0
2010,Males,1 to 4 years,0
2010,Females,1 to 4 years,0
2010,Both sexes,5 to 9 years,0
2010,Males,5 to 9 years,0
2010,Females,5 to 9 years,0
2010,Both sexes,10 to 14 years,0
2010,Males,10 to 14 years,0
2010,Females,10 to 14 years,0
2010,Both sexes,15 to 19 years,0
2010,Males,15 to 19 years,0
2010,Females,15 to 19 years,0
2010,Both sexes,20 to 24 years,1
2010,Males,20 to 24 years,1
2010,Females,20 to 24 years,0
2010,Both sexes,25 to 29 years,0
2010,Males,25 to 29 years,0
2010,Females,25 to 29 years,0
2010,Both sexes,30 to 34 years,0
2010,Males,30 to 34 years,0
2010,Females,30 to 34 years,0
2010,Both sexes,35 to 39 years,2
2010,Males,35 to 39 years,2
2010,Females,35 to 39 years,0
2010,Both sexes,40 to 44 years,2
2010,Males,40 to 44 years,2
2010,Females,40 to 44 years,0
2010,Both sexes,45 to 49 years,4
2010,Males,45 to 49 years,4
2010,Females,45 to 49 years,0
2010,Both sexes,50 to 54 years,5
2010,Males,50 to 54 years,3
2010,Females,50 to 54 years,2
2010,Both sexes,55 to 59 years,8
2010,Males,55 to 59 years,6
2010,Females,55 to 59 years,2
2010,Both sexes,60 to 64 years,0
2010,Males,60 to 64 years,0
2010,Females,60 to 64 years,0
2010,Both sexes,65 to 69 years,5
2010,Males,65 to 69 years,2
2010,Females,65 to 69 years,3
2010,Both sexes,70 to 74 years,7
2010,Males,70 to 74 years,5
2010,Females,70 to 74 years,2
2010,Both sexes,75 to 79 years,4
2010,Males,75 to 79 years,2
2010,Females,75 to 79 years,2
2010,Both sexes,80 to 84 years,5
2010,Males,80 to 84 years,2
2010,Females,80 to 84 years,3
2010,Both sexes,85 to 89 years,5
2010,Males,85 to 89 years,3
2010,Females,85 to 89 years,2
2010,Both sexes,90 years and over,2
2010,Males,90 years and over,0
2010,Females,90 years and over,2
2010,Both sexes,"Age, not stated",0
2010,Males,"Age, not stated",0
2010,Females,"Age, not stated",0
2011,,,16
2011,Males,"Total, all ages",11
2011,Females,"Total, all ages",5
2011,Both sexes,Under 1 years,0
2011,Males,Under 1 years,0
2011,Females,Under 1 years,0
2011,Both sexes,1 to 4 years,0
2011,Males,1 to 4 years,0
2011,Females,1 to 4 years,0
2011,Both sexes,5 to 9 years,0
2011,Males,5 to 9 years,0
2011,Females,5 to 9 years,0
2011,Both sexes,10 to 14 years,0
2011,Males,10 to 14 years,0
2011,Females,10 to 14 years,0
2011,Both sexes,15 to 19 years,0
2011,Males,15 to 19 years,0
2011,Females,15 to 19 years,0
2011,Both sexes,20 to 24 years,0
2011,Males,20 to 24 years,0
2011,Females,20 to 24 years,0
