Year,Industries,Activités de protection de l'environnement,Value
2019,Fabrication de produits en bois,Lutte contre le bruit et les vibrations,2.2
2019,Fabrication du papier,"Total, activités de protection de l'environnement",97.4
2019,Fabrication du papier,Gestion des eaux usées,87.1
2019,Fabrication du papier,Gestion de la pollution atmosphérique,38.2
2019,Fabrication du papier,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",37.7
2019,Fabrication du papier,Protection de la biodiversité et de l’habitat,13.0
2019,Fabrication du papier,Lutte contre le bruit et les vibrations,12.2
2019,Fabrication de produits du pétrole et du charbon,"Total, activités de protection de l'environnement",100.0
2019,Fabrication de produits du pétrole et du charbon,Gestion des eaux usées,93.3
2019,Fabrication de produits du pétrole et du charbon,Gestion de la pollution atmosphérique,76.7
2019,Fabrication de produits du pétrole et du charbon,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",70.0
2019,Fabrication de produits du pétrole et du charbon,Protection de la biodiversité et de l’habitat,40.0
2019,Fabrication de produits du pétrole et du charbon,Lutte contre le bruit et les vibrations,43.3
2019,Fabrication de produits chimiques,"Total, activités de protection de l'environnement",96.9
2019,Fabrication de produits chimiques,Gestion des eaux usées,76.0
2019,Fabrication de produits chimiques,Gestion de la pollution atmosphérique,46.7
2019,Fabrication de produits chimiques,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",21.8
2019,Fabrication de produits chimiques,Protection de la biodiversité et de l’habitat,11.3
2019,Fabrication de produits chimiques,Lutte contre le bruit et les vibrations,9.8
2019,Fabrication de produits minéraux non métalliques,"Total, activités de protection de l'environnement",86.5
2019,Fabrication de produits minéraux non métalliques,Gestion des eaux usées,65.9
2019,Fabrication de produits minéraux non métalliques,Gestion de la pollution atmosphérique,43.0
2019,Fabrication de produits minéraux non métalliques,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",13.2
2019,Fabrication de produits minéraux non métalliques,Protection de la biodiversité et de l’habitat,6.0
2019,Fabrication de produits minéraux non métalliques,Lutte contre le bruit et les vibrations,9.1
2019,Première transformation des métaux,"Total, activités de protection de l'environnement",96.4
