Year,Geography,Sources of waste for disposal,GeoCode,Value
2020,Saskatchewan,Residential sources of waste for disposal,47,348.3
2020,Saskatchewan,Non-residential sources of waste for disposal,47,381.9
2020,Alberta,All sources of waste for disposal,48,917.7
2020,Alberta,Residential sources of waste for disposal,48,281.0
2020,Alberta,Non-residential sources of waste for disposal,48,636.8
2020,British Columbia,All sources of waste for disposal,59,541.6
2020,British Columbia,Residential sources of waste for disposal,59,206.4
2020,British Columbia,Non-residential sources of waste for disposal,59,335.2
2020,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,764.6
2020,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,297.0
2020,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,467.6
2022,Canada,Residential sources of waste for disposal,,274.7
2022,Canada,Non-residential sources of waste for disposal,,408.7
2022,Newfoundland and Labrador,All sources of waste for disposal,10,685.8
2022,Newfoundland and Labrador,Residential sources of waste for disposal,10,300.1
2022,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,385.7
2022,Prince Edward Island,All sources of waste for disposal,11,
2022,Prince Edward Island,Residential sources of waste for disposal,11,
2022,Prince Edward Island,Non-residential sources of waste for disposal,11,
2022,Nova Scotia,All sources of waste for disposal,12,403.3
2022,Nova Scotia,Residential sources of waste for disposal,12,169.8
2022,Nova Scotia,Non-residential sources of waste for disposal,12,233.4
2022,New Brunswick,All sources of waste for disposal,13,624.0
2022,New Brunswick,Residential sources of waste for disposal,13,302.5
2022,New Brunswick,Non-residential sources of waste for disposal,13,321.5
2022,Quebec,All sources of waste for disposal,24,677.7
2022,Quebec,Residential sources of waste for disposal,24,378.5
2022,Quebec,Non-residential sources of waste for disposal,24,299.2
2022,Ontario,All sources of waste for disposal,35,708.6
2022,Ontario,Residential sources of waste for disposal,35,245.6
2022,Ontario,Non-residential sources of waste for disposal,35,462.9
2022,Manitoba,All sources of waste for disposal,46,636.2
2022,Manitoba,Residential sources of waste for disposal,46,222.8
2022,Manitoba,Non-residential sources of waste for disposal,46,413.4
2022,Saskatchewan,All sources of waste for disposal,47,729.2
2022,Saskatchewan,Residential sources of waste for disposal,47,346.2
