Year,Geography,Age group,Sex,Value
2019,Prince Edward Island,65 years and over,Both sexes,93.0
2020,Prince Edward Island,65 years and over,Both sexes,94.3
2015,Prince Edward Island,65 years and over,Males,93.0
2016,Prince Edward Island,65 years and over,Males,93.0
2017,Prince Edward Island,65 years and over,Males,92.6
2018,Prince Edward Island,65 years and over,Males,95.5
2019,Prince Edward Island,65 years and over,Males,91.9
2020,Prince Edward Island,65 years and over,Males,95.3
2015,Prince Edward Island,65 years and over,Females,91.2
2016,Prince Edward Island,65 years and over,Females,93.5
2017,Prince Edward Island,65 years and over,Females,91.2
2018,Prince Edward Island,65 years and over,Females,92.7
2019,Prince Edward Island,65 years and over,Females,94.0
2020,Prince Edward Island,65 years and over,Females,93.5
2015,Nova Scotia,"Total, 12 years and over",Both sexes,92.3
2016,Nova Scotia,"Total, 12 years and over",Both sexes,90.8
2017,Nova Scotia,"Total, 12 years and over",Both sexes,91.1
2018,Nova Scotia,"Total, 12 years and over",Both sexes,90.9
2019,Nova Scotia,"Total, 12 years and over",Both sexes,92.1
2020,Nova Scotia,"Total, 12 years and over",Both sexes,91.7
2015,Nova Scotia,"Total, 12 years and over",Males,91.8
2016,Nova Scotia,"Total, 12 years and over",Males,91.2
2017,Nova Scotia,"Total, 12 years and over",Males,89.2
2018,Nova Scotia,"Total, 12 years and over",Males,90.9
2019,Nova Scotia,"Total, 12 years and over",Males,92.0
2020,Nova Scotia,"Total, 12 years and over",Males,92.2
2015,Nova Scotia,"Total, 12 years and over",Females,92.8
2016,Nova Scotia,"Total, 12 years and over",Females,90.4
2017,Nova Scotia,"Total, 12 years and over",Females,92.9
2018,Nova Scotia,"Total, 12 years and over",Females,91.0
2019,Nova Scotia,"Total, 12 years and over",Females,92.3
2020,Nova Scotia,"Total, 12 years and over",Females,91.1
2015,Nova Scotia,12 to 17 years,Both sexes,98.8
2016,Nova Scotia,12 to 17 years,Both sexes,98.3
2017,Nova Scotia,12 to 17 years,Both sexes,99.7
2018,Nova Scotia,12 to 17 years,Both sexes,96.5
2019,Nova Scotia,12 to 17 years,Both sexes,98.7
2020,Nova Scotia,12 to 17 years,Both sexes,95.1
2015,Nova Scotia,12 to 17 years,Males,100.0
2016,Nova Scotia,12 to 17 years,Males,100.0
2017,Nova Scotia,12 to 17 years,Males,100.0
2018,Nova Scotia,12 to 17 years,Males,99.5
2019,Nova Scotia,12 to 17 years,Males,100.0
2020,Nova Scotia,12 to 17 years,Males,98.8
2015,Nova Scotia,12 to 17 years,Females,97.6
2016,Nova Scotia,12 to 17 years,Females,96.4
2017,Nova Scotia,12 to 17 years,Females,99.3
2018,Nova Scotia,12 to 17 years,Females,93.4
2019,Nova Scotia,12 to 17 years,Females,97.4
2020,Nova Scotia,12 to 17 years,Females,91.0
2015,Nova Scotia,18 to 34 years,Both sexes,92.9
2016,Nova Scotia,18 to 34 years,Both sexes,93.2
2017,Nova Scotia,18 to 34 years,Both sexes,94.7
2018,Nova Scotia,18 to 34 years,Both sexes,92.1
2019,Nova Scotia,18 to 34 years,Both sexes,95.5
2020,Nova Scotia,18 to 34 years,Both sexes,95.3
2015,Nova Scotia,18 to 34 years,Males,90.4
2016,Nova Scotia,18 to 34 years,Males,93.6
2017,Nova Scotia,18 to 34 years,Males,94.9
2018,Nova Scotia,18 to 34 years,Males,89.1
2019,Nova Scotia,18 to 34 years,Males,95.5
2020,Nova Scotia,18 to 34 years,Males,98.1
2015,Nova Scotia,18 to 34 years,Females,95.5
2016,Nova Scotia,18 to 34 years,Females,92.8
2017,Nova Scotia,18 to 34 years,Females,94.4
2018,Nova Scotia,18 to 34 years,Females,95.0
2019,Nova Scotia,18 to 34 years,Females,95.4
2020,Nova Scotia,18 to 34 years,Females,92.8
2015,Nova Scotia,35 to 49 years,Both sexes,95.3
2016,Nova Scotia,35 to 49 years,Both sexes,92.3
2017,Nova Scotia,35 to 49 years,Both sexes,89.9
2018,Nova Scotia,35 to 49 years,Both sexes,92.6
2019,Nova Scotia,35 to 49 years,Both sexes,89.5
2020,Nova Scotia,35 to 49 years,Both sexes,93.0
2015,Nova Scotia,35 to 49 years,Males,94.8
2016,Nova Scotia,35 to 49 years,Males,90.9
2017,Nova Scotia,35 to 49 years,Males,89.6
2018,Nova Scotia,35 to 49 years,Males,93.6
2019,Nova Scotia,35 to 49 years,Males,89.3
2020,Nova Scotia,35 to 49 years,Males,93.3
2015,Nova Scotia,35 to 49 years,Females,95.7
2016,Nova Scotia,35 to 49 years,Females,93.6
2017,Nova Scotia,35 to 49 years,Females,90.2
