Year,Industries,Environmental protection activities or management practices,Value
2020,Non-metallic mineral product manufacturing,Air pollution management,29.2
2020,Non-metallic mineral product manufacturing,"Protection and remediation of soil, groundwater and surface water",11.0
2020,Non-metallic mineral product manufacturing,Protection of biodiversity and habitat,2.5
2020,Non-metallic mineral product manufacturing,Noise and vibration abatement,6.2
2020,Primary metal manufacturing,"Total, environmental protection activities",97.9
2020,Primary metal manufacturing,Wastewater management,88.0
2020,Primary metal manufacturing,Air pollution management,68.3
2020,Primary metal manufacturing,"Protection and remediation of soil, groundwater and surface water",46.9
2020,Primary metal manufacturing,Protection of biodiversity and habitat,14.1
2020,Primary metal manufacturing,Noise and vibration abatement,19.8
2020,Fabricated metal product manufacturing,"Total, environmental protection activities",87.7
2020,Fabricated metal product manufacturing,Wastewater management,61.9
2020,Fabricated metal product manufacturing,Air pollution management,12.4
2020,Fabricated metal product manufacturing,"Protection and remediation of soil, groundwater and surface water",5.8
2020,Fabricated metal product manufacturing,Protection of biodiversity and habitat,0.5
2020,Fabricated metal product manufacturing,Noise and vibration abatement,5.7
2020,Transportation equipment manufacturing,"Total, environmental protection activities",91.1
2020,Transportation equipment manufacturing,Wastewater management,71.9
2020,Transportation equipment manufacturing,Air pollution management,25.6
2020,Transportation equipment manufacturing,"Protection and remediation of soil, groundwater and surface water",8.4
2020,Transportation equipment manufacturing,Protection of biodiversity and habitat,3.9
2020,Transportation equipment manufacturing,Noise and vibration abatement,10.0
2020,Plastics and rubber products manufacturing,"Total, environmental protection activities",91.4
2020,Plastics and rubber products manufacturing,Wastewater management,64.4
2020,Plastics and rubber products manufacturing,Air pollution management,13.4
2020,Plastics and rubber products manufacturing,"Protection and remediation of soil, groundwater and surface water",6.4
2020,Plastics and rubber products manufacturing,Protection of biodiversity and habitat,1.0
2020,Plastics and rubber products manufacturing,Noise and vibration abatement,5.8
2020,Machinery manufacturing,"Total, environmental protection activities",92.2
2020,Machinery manufacturing,Wastewater management,60.6
2020,Machinery manufacturing,Air pollution management,12.7
2020,Machinery manufacturing,"Protection and remediation of soil, groundwater and surface water",0.8
2020,Machinery manufacturing,Protection of biodiversity and habitat,0.3
2020,Machinery manufacturing,Noise and vibration abatement,2.7
2020,Furniture and related product manufacturing,"Total, environmental protection activities",89.1
2020,Furniture and related product manufacturing,Wastewater management,58.7
2020,Furniture and related product manufacturing,Air pollution management,5.2
2020,Furniture and related product manufacturing,"Protection and remediation of soil, groundwater and surface water",3.1
2020,Furniture and related product manufacturing,Protection of biodiversity and habitat,0.0
2020,Furniture and related product manufacturing,Noise and vibration abatement,
2020,Other manufacturing industries,"Total, environmental protection activities",77.5
2020,Other manufacturing industries,Wastewater management,49.0
2020,Other manufacturing industries,Air pollution management,2.7
2020,Other manufacturing industries,"Protection and remediation of soil, groundwater and surface water",0.8
2020,Other manufacturing industries,Protection of biodiversity and habitat,0.2
2020,Other manufacturing industries,Noise and vibration abatement,1.3
2020,Pipeline transportation,"Total, environmental protection activities",93.0
2020,Pipeline transportation,Wastewater management,77.2
2020,Pipeline transportation,Air pollution management,70.2
2020,Pipeline transportation,"Protection and remediation of soil, groundwater and surface water",73.7
2020,Pipeline transportation,Protection of biodiversity and habitat,45.6
2020,Pipeline transportation,Noise and vibration abatement,
2018,"Total, industries",Sold carbon offset credits only or sold more than purchased,0.9
2018,Logging (except contract),Sold carbon offset credits only or sold more than purchased,
2018,Oil and gas extraction,Sold carbon offset credits only or sold more than purchased,5.1
2018,Mining and quarrying,Sold carbon offset credits only or sold more than purchased,0.0
2018,"Electric power generation, transmission and distribution",Sold carbon offset credits only or sold more than purchased,7.9
2018,Natural gas distribution,Sold carbon offset credits only or sold more than purchased,7.2
2018,Food manufacturing,Sold carbon offset credits only or sold more than purchased,0.3
2018,Beverage and tobacco product manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2018,Wood product manufacturing,Sold carbon offset credits only or sold more than purchased,4.6
2018,Paper manufacturing,Sold carbon offset credits only or sold more than purchased,2.6
2018,Petroleum and coal product manufacturing,Sold carbon offset credits only or sold more than purchased,14.4
2018,Chemical manufacturing,Sold carbon offset credits only or sold more than purchased,
2018,Non-metallic mineral product manufacturing,Sold carbon offset credits only or sold more than purchased,
2018,Primary metal manufacturing,Sold carbon offset credits only or sold more than purchased,7.2
2018,Fabricated metal product manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2018,Transportation equipment manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2018,Plastics and rubber products manufacturing,Sold carbon offset credits only or sold more than purchased,
2018,Machinery manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2018,Furniture and related product manufacturing,Sold carbon offset credits only or sold more than purchased,
2018,Other manufacturing industries,Sold carbon offset credits only or sold more than purchased,0.6
2018,Pipeline transportation,Sold carbon offset credits only or sold more than purchased,
2019,"Total, industries",Sold carbon offset credits only or sold more than purchased,0.6
2019,Logging (except contract),Sold carbon offset credits only or sold more than purchased,0.0
2019,Oil and gas extraction,Sold carbon offset credits only or sold more than purchased,10.0
2019,Mining and quarrying,Sold carbon offset credits only or sold more than purchased,
2019,"Electric power generation, transmission and distribution",Sold carbon offset credits only or sold more than purchased,4.7
2019,Natural gas distribution,Sold carbon offset credits only or sold more than purchased,0.0
2019,Food manufacturing,Sold carbon offset credits only or sold more than purchased,
2019,Beverage and tobacco product manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2019,Wood product manufacturing,Sold carbon offset credits only or sold more than purchased,1.0
2019,Paper manufacturing,Sold carbon offset credits only or sold more than purchased,2.7
2019,Petroleum and coal product manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2019,Chemical manufacturing,Sold carbon offset credits only or sold more than purchased,
2019,Non-metallic mineral product manufacturing,Sold carbon offset credits only or sold more than purchased,
2019,Primary metal manufacturing,Sold carbon offset credits only or sold more than purchased,10.0
2019,Fabricated metal product manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2019,Transportation equipment manufacturing,Sold carbon offset credits only or sold more than purchased,
2019,Plastics and rubber products manufacturing,Sold carbon offset credits only or sold more than purchased,
2019,Machinery manufacturing,Sold carbon offset credits only or sold more than purchased,1.0
2019,Furniture and related product manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2019,Other manufacturing industries,Sold carbon offset credits only or sold more than purchased,
2019,Pipeline transportation,Sold carbon offset credits only or sold more than purchased,10.0
2020,"Total, industries",Sold carbon offset credits only or sold more than purchased,0.7
2020,Logging (except contract),Sold carbon offset credits only or sold more than purchased,0.4
2020,Oil and gas extraction,Sold carbon offset credits only or sold more than purchased,7.3
2020,Mining and quarrying,Sold carbon offset credits only or sold more than purchased,
2020,"Electric power generation, transmission and distribution",Sold carbon offset credits only or sold more than purchased,2.5
2020,Natural gas distribution,Sold carbon offset credits only or sold more than purchased,
2020,Food manufacturing,Sold carbon offset credits only or sold more than purchased,0.9
2020,Beverage and tobacco product manufacturing,Sold carbon offset credits only or sold more than purchased,1.7
2020,Wood product manufacturing,Sold carbon offset credits only or sold more than purchased,1.6
2020,Paper manufacturing,Sold carbon offset credits only or sold more than purchased,4.4
2020,Petroleum and coal product manufacturing,Sold carbon offset credits only or sold more than purchased,
2020,Chemical manufacturing,Sold carbon offset credits only or sold more than purchased,
2020,Non-metallic mineral product manufacturing,Sold carbon offset credits only or sold more than purchased,0.9
2020,Primary metal manufacturing,Sold carbon offset credits only or sold more than purchased,9.4
2020,Fabricated metal product manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2020,Transportation equipment manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2020,Plastics and rubber products manufacturing,Sold carbon offset credits only or sold more than purchased,
2020,Machinery manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2020,Furniture and related product manufacturing,Sold carbon offset credits only or sold more than purchased,0.0
2020,Other manufacturing industries,Sold carbon offset credits only or sold more than purchased,0.5
2020,Pipeline transportation,Sold carbon offset credits only or sold more than purchased,0.0
