Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2013,Ontario,Total electric charging and alternative fuelling stations,35,68
2013,Ontario,Electric,35,38
2013,Ontario,Propane,35,30
2014,Ontario,Total electric charging and alternative fuelling stations,35,104
2014,Ontario,Compressed natural gas,35,1
2014,Ontario,Electric,35,72
2014,Ontario,Propane,35,31
2015,Ontario,Total electric charging and alternative fuelling stations,35,191
2015,Ontario,Compressed natural gas,35,2
2015,Ontario,Electric,35,157
2015,Ontario,Propane,35,32
2016,Ontario,Total electric charging and alternative fuelling stations,35,238
2016,Ontario,Electric,35,202
2016,Ontario,Hydrogen,35,1
2016,Ontario,Propane,35,33
2017,Ontario,Total electric charging and alternative fuelling stations,35,382
2017,Ontario,Compressed natural gas,35,4
2017,Ontario,Electric,35,305
2017,Ontario,Propane,35,72
2018,Ontario,Total electric charging and alternative fuelling stations,35,491
2018,Ontario,Compressed natural gas,35,7
2018,Ontario,Electric,35,408
2018,Ontario,Propane,35,75
2019,Ontario,Total electric charging and alternative fuelling stations,35,782
2019,Ontario,Compressed natural gas,35,8
2019,Ontario,Electric,35,693
2019,Ontario,Propane,35,80
2020,Ontario,Total electric charging and alternative fuelling stations,35,1003
2020,Ontario,Electric,35,908
2020,Ontario,Propane,35,86
2021,Ontario,Total electric charging and alternative fuelling stations,35,1450
2021,Ontario,Compressed natural gas,35,9
2021,Ontario,Electric,35,1353
2021,Ontario,Propane,35,87
2022,Ontario,Total electric charging and alternative fuelling stations,35,2253
2022,Ontario,Compressed natural gas,35,12
2022,Ontario,Electric,35,2140
2022,Ontario,Propane,35,100
2023,Ontario,Total electric charging and alternative fuelling stations,35,3584
2023,Ontario,Electric,35,3467
2023,Ontario,Propane,35,104
2024,Ontario,Total electric charging and alternative fuelling stations,35,4477
2024,Ontario,Electric,35,4351
2024,Ontario,Hydrogen,35,2
2024,Ontario,Propane,35,112
2025,Ontario,Total electric charging and alternative fuelling stations,35,4961
2025,Ontario,Electric,35,4826
2025,Ontario,Propane,35,121
2013,Prince Edward Island,Total electric charging and alternative fuelling stations,11,2
2013,Prince Edward Island,Electric,11,2
2014,Prince Edward Island,Total electric charging and alternative fuelling stations,11,6
2014,Prince Edward Island,Electric,11,6
