Year,Units,Geography,Land use category,Water quality,Value
2016-2018,Percentage,Hudson Bay,Forestry,Marginal,0
2016-2018,Percentage,Hudson Bay,Forestry,Poor,0
2016-2018,Percentage,Hudson Bay,Mining,Excellent,0
2016-2018,Percentage,Hudson Bay,Mining,Good,0
2016-2018,Percentage,Hudson Bay,Mining,Fair,0
2016-2018,Percentage,Hudson Bay,Mining,Marginal,0
2016-2018,Percentage,Hudson Bay,Mining,Poor,0
2016-2018,Percentage,Hudson Bay,Populated,Excellent,0
2016-2018,Percentage,Hudson Bay,Populated,Good,0
2016-2018,Percentage,Hudson Bay,Populated,Fair,0
2016-2018,Percentage,Hudson Bay,Populated,Marginal,0
2016-2018,Percentage,Hudson Bay,Populated,Poor,0
2016-2018,Percentage,Hudson Bay,Mixed pressures,Excellent,7
2016-2018,Percentage,Hudson Bay,Mixed pressures,Good,20
2016-2018,Percentage,Hudson Bay,Mixed pressures,Fair,18
2016-2018,Percentage,Hudson Bay,Mixed pressures,Marginal,7
2016-2018,Percentage,Hudson Bay,Mixed pressures,Poor,0
2016-2018,Percentage,Hudson Bay,Undeveloped,Excellent,4
2016-2018,Percentage,Hudson Bay,Undeveloped,Good,0
2016-2018,Percentage,Hudson Bay,Undeveloped,Fair,0
2016-2018,Percentage,Hudson Bay,Undeveloped,Marginal,0
2016-2018,Percentage,Hudson Bay,Undeveloped,Poor,0
2016-2018,Number of sites,Hudson Bay,Agriculture,Excellent,0
2016-2018,Number of sites,Hudson Bay,Agriculture,Good,5
2016-2018,Number of sites,Hudson Bay,Agriculture,Fair,10
2016-2018,Number of sites,Hudson Bay,Agriculture,Marginal,4
2016-2018,Number of sites,Hudson Bay,Agriculture,Poor,1
2016-2018,Number of sites,Hudson Bay,Forestry,Excellent,0
2016-2018,Number of sites,Hudson Bay,Forestry,Good,0
2016-2018,Number of sites,Hudson Bay,Forestry,Fair,0
2016-2018,Number of sites,Hudson Bay,Forestry,Marginal,0
2016-2018,Number of sites,Hudson Bay,Forestry,Poor,0
2016-2018,Number of sites,Hudson Bay,Mining,Excellent,0
2016-2018,Number of sites,Hudson Bay,Mining,Good,0
2016-2018,Number of sites,Hudson Bay,Mining,Fair,0
2016-2018,Number of sites,Hudson Bay,Mining,Marginal,0
2016-2018,Number of sites,Hudson Bay,Mining,Poor,0
2016-2018,Number of sites,Hudson Bay,Populated,Excellent,0
2016-2018,Number of sites,Hudson Bay,Populated,Good,0
2016-2018,Number of sites,Hudson Bay,Populated,Fair,0
2016-2018,Number of sites,Hudson Bay,Populated,Marginal,0
2016-2018,Number of sites,Hudson Bay,Populated,Poor,0
2016-2018,Number of sites,Hudson Bay,Mixed pressures,Excellent,3
2016-2018,Number of sites,Hudson Bay,Mixed pressures,Good,9
2016-2018,Number of sites,Hudson Bay,Mixed pressures,Fair,8
2016-2018,Number of sites,Hudson Bay,Mixed pressures,Marginal,3
2016-2018,Number of sites,Hudson Bay,Mixed pressures,Poor,0
2016-2018,Number of sites,Hudson Bay,Undeveloped,Excellent,2
2016-2018,Number of sites,Hudson Bay,Undeveloped,Good,0
2016-2018,Number of sites,Hudson Bay,Undeveloped,Fair,0
2016-2018,Number of sites,Hudson Bay,Undeveloped,Marginal,0
2016-2018,Number of sites,Hudson Bay,Undeveloped,Poor,0
2016-2018,Percentage,Mackenzie River,Agriculture,Excellent,0
2016-2018,Percentage,Mackenzie River,Agriculture,Good,0
2016-2018,Percentage,Mackenzie River,Agriculture,Fair,0
2016-2018,Percentage,Mackenzie River,Agriculture,Marginal,0
2016-2018,Percentage,Mackenzie River,Agriculture,Poor,0
2016-2018,Percentage,Mackenzie River,Forestry,Excellent,0
2016-2018,Percentage,Mackenzie River,Forestry,Good,0
2016-2018,Percentage,Mackenzie River,Forestry,Fair,0
2016-2018,Percentage,Mackenzie River,Forestry,Marginal,0
2016-2018,Percentage,Mackenzie River,Forestry,Poor,0
2016-2018,Percentage,Mackenzie River,Mining,Excellent,0
2016-2018,Percentage,Mackenzie River,Mining,Good,10
2016-2018,Percentage,Mackenzie River,Mining,Fair,10
2016-2018,Percentage,Mackenzie River,Mining,Marginal,0
2016-2018,Percentage,Mackenzie River,Mining,Poor,0
2016-2018,Percentage,Mackenzie River,Populated,Excellent,0
2016-2018,Percentage,Mackenzie River,Populated,Good,0
2016-2018,Percentage,Mackenzie River,Populated,Fair,0
2016-2018,Percentage,Mackenzie River,Populated,Marginal,0
2016-2018,Percentage,Mackenzie River,Populated,Poor,0
2016-2018,Percentage,Mackenzie River,Mixed pressures,Excellent,5
2016-2018,Percentage,Mackenzie River,Mixed pressures,Good,10
2016-2018,Percentage,Mackenzie River,Mixed pressures,Fair,25
2016-2018,Percentage,Mackenzie River,Mixed pressures,Marginal,0
2016-2018,Percentage,Mackenzie River,Mixed pressures,Poor,0
2016-2018,Percentage,Mackenzie River,Undeveloped,Excellent,10
2016-2018,Percentage,Mackenzie River,Undeveloped,Good,15
2016-2018,Percentage,Mackenzie River,Undeveloped,Fair,15
2016-2018,Percentage,Mackenzie River,Undeveloped,Marginal,0
2016-2018,Percentage,Mackenzie River,Undeveloped,Poor,0
2016-2018,Number of sites,Mackenzie River,Agriculture,Excellent,0
2016-2018,Number of sites,Mackenzie River,Agriculture,Good,0
2016-2018,Number of sites,Mackenzie River,Agriculture,Fair,0
2016-2018,Number of sites,Mackenzie River,Agriculture,Marginal,0
2016-2018,Number of sites,Mackenzie River,Agriculture,Poor,0
2016-2018,Number of sites,Mackenzie River,Forestry,Excellent,0
2016-2018,Number of sites,Mackenzie River,Forestry,Good,0
2016-2018,Number of sites,Mackenzie River,Forestry,Fair,0
2016-2018,Number of sites,Mackenzie River,Forestry,Marginal,0
2016-2018,Number of sites,Mackenzie River,Forestry,Poor,0
2016-2018,Number of sites,Mackenzie River,Mining,Excellent,0
2016-2018,Number of sites,Mackenzie River,Mining,Good,2
2016-2018,Number of sites,Mackenzie River,Mining,Fair,2
2016-2018,Number of sites,Mackenzie River,Mining,Marginal,0
2016-2018,Number of sites,Mackenzie River,Mining,Poor,0
2016-2018,Number of sites,Mackenzie River,Populated,Excellent,0
2016-2018,Number of sites,Mackenzie River,Populated,Good,0
2016-2018,Number of sites,Mackenzie River,Populated,Fair,0
2016-2018,Number of sites,Mackenzie River,Populated,Marginal,0
2016-2018,Number of sites,Mackenzie River,Populated,Poor,0
2016-2018,Number of sites,Mackenzie River,Mixed pressures,Excellent,1
2016-2018,Number of sites,Mackenzie River,Mixed pressures,Good,2
2016-2018,Number of sites,Mackenzie River,Mixed pressures,Fair,5
2016-2018,Number of sites,Mackenzie River,Mixed pressures,Marginal,0
2016-2018,Number of sites,Mackenzie River,Mixed pressures,Poor,0
2016-2018,Number of sites,Mackenzie River,Undeveloped,Excellent,2
2016-2018,Number of sites,Mackenzie River,Undeveloped,Good,3
2016-2018,Number of sites,Mackenzie River,Undeveloped,Fair,3
2016-2018,Number of sites,Mackenzie River,Undeveloped,Marginal,0
2016-2018,Number of sites,Mackenzie River,Undeveloped,Poor,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Excellent,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Good,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Fair,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Marginal,0
2016-2018,Percentage,Pacific Ocean,Agriculture,Poor,0
2016-2018,Percentage,Pacific Ocean,Forestry,Excellent,0
2016-2018,Percentage,Pacific Ocean,Forestry,Good,8
2016-2018,Percentage,Pacific Ocean,Forestry,Fair,0
2016-2018,Percentage,Pacific Ocean,Forestry,Marginal,0
2016-2018,Percentage,Pacific Ocean,Forestry,Poor,0
2016-2018,Percentage,Pacific Ocean,Mining,Excellent,0
2016-2018,Percentage,Pacific Ocean,Mining,Good,8
2016-2018,Percentage,Pacific Ocean,Mining,Fair,4
2016-2018,Percentage,Pacific Ocean,Mining,Marginal,12
2016-2018,Percentage,Pacific Ocean,Mining,Poor,0
2016-2018,Percentage,Pacific Ocean,Populated,Excellent,0
2016-2018,Percentage,Pacific Ocean,Populated,Good,0
2016-2018,Percentage,Pacific Ocean,Populated,Fair,0
2016-2018,Percentage,Pacific Ocean,Populated,Marginal,0
