Year,data.Geography,data.Core public infrastructure assets,data.Type of municipality by population size,GeoCode,Value
2016,data.Quebec,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",24,32.89
2016,data.Quebec,data.Potable water,"data.Urban municipalities, population 30,000 or more",24,25.0
2016,data.Quebec,data.Potable water,data.All rural municipalities,24,27.13
2016,data.Quebec,data.Potable water,"data.Rural municipalities, population 1 to 4,999",24,
2016,data.Quebec,data.Potable water,"data.Rural municipalities, population 5,000 or more",24,42.86
2016,data.Quebec,data.Stormwater,data.All municipalities,24,45.7
2016,data.Quebec,data.Stormwater,data.All urban municipalities,24,55.96
2016,data.Quebec,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",24,31.94
2016,data.Quebec,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",24,63.53
2016,data.Quebec,data.Stormwater,"data.Urban municipalities, population 30,000 or more",24,86.11
2016,data.Quebec,data.Stormwater,data.All rural municipalities,24,38.98
2016,data.Quebec,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",24,37.86
2016,data.Quebec,data.Stormwater,"data.Rural municipalities, population 5,000 or more",24,44.23
2016,data.Quebec,data.Wastewater,data.All municipalities,24,31.79
2016,data.Quebec,data.Wastewater,data.All urban municipalities,24,33.5
2016,data.Quebec,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",24,21.52
2016,data.Quebec,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",24,34.94
2016,data.Quebec,data.Wastewater,"data.Urban municipalities, population 30,000 or more",24,52.78
2016,data.Quebec,data.Wastewater,data.All rural municipalities,24,30.85
2016,data.Quebec,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",24,31.07
2016,data.Quebec,data.Wastewater,"data.Rural municipalities, population 5,000 or more",24,30.19
2016,data.Quebec,data.Solid waste,data.All municipalities,24,
2016,data.Quebec,data.Solid waste,data.All urban municipalities,24,12.86
2016,data.Quebec,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",24,13.04
2016,data.Quebec,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",24,14.29
2016,data.Quebec,data.Solid waste,"data.Urban municipalities, population 30,000 or more",24,5.26
2016,data.Quebec,data.Solid waste,data.All rural municipalities,24,
2016,data.Quebec,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",24,
2016,data.Quebec,data.Solid waste,"data.Rural municipalities, population 5,000 or more",24,12.5
2016,data.Ontario,data.Potable water,data.All municipalities,35,23.98
2016,data.Ontario,data.Potable water,data.All urban municipalities,35,28.7
2016,data.Ontario,data.Potable water,"data.Urban municipalities, population 1 to 4,999",35,14.29
2016,data.Ontario,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",35,34.55
2016,data.Ontario,data.Potable water,"data.Urban municipalities, population 30,000 or more",35,21.74
2016,data.Ontario,data.Potable water,data.All rural municipalities,35,20.29
2016,data.Ontario,data.Potable water,"data.Rural municipalities, population 1 to 4,999",35,
2016,data.Ontario,data.Potable water,"data.Rural municipalities, population 5,000 or more",35,22.08
2016,data.Ontario,data.Stormwater,data.All municipalities,35,51.14
2016,data.Ontario,data.Stormwater,data.All urban municipalities,35,58.7
2016,data.Ontario,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",35,33.33
2016,data.Ontario,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",35,54.69
2016,data.Ontario,data.Stormwater,"data.Urban municipalities, population 30,000 or more",35,71.19
2016,data.Ontario,data.Stormwater,data.All rural municipalities,35,44.97
2016,data.Ontario,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",35,54.55
2016,data.Ontario,data.Stormwater,"data.Rural municipalities, population 5,000 or more",35,36.96
2016,data.Ontario,data.Wastewater,data.All municipalities,35,34.44
2016,data.Ontario,data.Wastewater,data.All urban municipalities,35,37.96
2016,data.Ontario,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",35,0.0
2016,data.Ontario,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",35,42.31
2016,data.Ontario,data.Wastewater,"data.Urban municipalities, population 30,000 or more",35,39.58
2016,data.Ontario,data.Wastewater,data.All rural municipalities,35,30.83
2016,data.Ontario,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",35,30.65
2016,data.Ontario,data.Wastewater,"data.Rural municipalities, population 5,000 or more",35,30.56
2016,data.Ontario,data.Solid waste,data.All municipalities,35,10.87
2016,data.Ontario,data.Solid waste,data.All urban municipalities,35,11.9
2016,data.Ontario,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",35,5.26
2016,data.Ontario,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",35,12.9
2016,data.Ontario,data.Solid waste,"data.Urban municipalities, population 30,000 or more",35,14.29
2016,data.Ontario,data.Solid waste,data.All rural municipalities,35,10.27
2016,data.Ontario,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",35,16.05
2016,data.Ontario,data.Solid waste,"data.Rural municipalities, population 5,000 or more",35,3.12
2016,data.Manitoba,data.Potable water,data.All municipalities,46,28.26
2016,data.Manitoba,data.Potable water,data.All urban municipalities,46,31.82
2016,data.Manitoba,data.Potable water,"data.Urban municipalities, population 1 to 4,999",46,14.29
2016,data.Manitoba,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",46,38.46
2016,data.Manitoba,data.Potable water,"data.Urban municipalities, population 30,000 or more",46,50.0
2016,data.Manitoba,data.Potable water,data.All rural municipalities,46,27.14
2016,data.Manitoba,data.Potable water,"data.Rural municipalities, population 1 to 4,999",46,27.87
2016,data.Manitoba,data.Potable water,"data.Rural municipalities, population 5,000 or more",46,25.0
