Year,Geography,Sources of waste for disposal,Value
2014,Saskatchewan,All sources of waste for disposal,845.1
2016,Saskatchewan,All sources of waste for disposal,790.9
2018,Saskatchewan,All sources of waste for disposal,744.3
2002,Saskatchewan,Non-residential sources of waste for disposal,518.1
2004,Saskatchewan,Non-residential sources of waste for disposal,516.9
2006,Saskatchewan,Non-residential sources of waste for disposal,541.9
2008,Saskatchewan,Non-residential sources of waste for disposal,602.7
2010,Saskatchewan,Non-residential sources of waste for disposal,621.6
2012,Saskatchewan,Non-residential sources of waste for disposal,592.1
2014,Saskatchewan,Non-residential sources of waste for disposal,547.3
2016,Saskatchewan,Non-residential sources of waste for disposal,488.5
2018,Saskatchewan,Non-residential sources of waste for disposal,416.2
2002,Saskatchewan,Residential sources of waste for disposal,279.6
2004,Saskatchewan,Residential sources of waste for disposal,280.2
2006,Saskatchewan,Residential sources of waste for disposal,298.4
2008,Saskatchewan,Residential sources of waste for disposal,284.8
2010,Saskatchewan,Residential sources of waste for disposal,269.8
2012,Saskatchewan,Residential sources of waste for disposal,291.6
2014,Saskatchewan,Residential sources of waste for disposal,297.8
2016,Saskatchewan,Residential sources of waste for disposal,302.4
2018,Saskatchewan,Residential sources of waste for disposal,328.1
2018,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,731.3
2018,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,467.7
2018,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,263.6
