Year,Géographie,Genre,Principal mode de transport pour la navette,Value
2021,"Peterborough (RMR), Ont.",Femmes+,Transport en commun,3.3
2021,"Peterborough (RMR), Ont.",Femmes+,Transport actif,7.1
2021,"St. Catharines - Niagara (RMR), Ont.",Total,Transport durable,6.0
2021,"St. Catharines - Niagara (RMR), Ont.",Total,Transport en commun,1.9
2021,"St. Catharines - Niagara (RMR), Ont.",Total,Transport actif,4.1
2021,"St. Catharines - Niagara (RMR), Ont.",Hommes+,Transport durable,5.2
2021,"St. Catharines - Niagara (RMR), Ont.",Hommes+,Transport en commun,1.3
2021,"St. Catharines - Niagara (RMR), Ont.",Hommes+,Transport actif,3.9
2021,"St. Catharines - Niagara (RMR), Ont.",Femmes+,Transport durable,6.8
2021,"St. Catharines - Niagara (RMR), Ont.",Femmes+,Transport en commun,2.5
2021,"St. Catharines - Niagara (RMR), Ont.",Femmes+,Transport actif,4.3
2021,"Thunder Bay (RMR), Ont.",Total,Transport durable,8.8
2021,"Thunder Bay (RMR), Ont.",Total,Transport en commun,3.4
2021,"Thunder Bay (RMR), Ont.",Total,Transport actif,5.4
2021,"Thunder Bay (RMR), Ont.",Hommes+,Transport durable,8.6
2021,"Thunder Bay (RMR), Ont.",Hommes+,Transport en commun,3.4
2021,"Thunder Bay (RMR), Ont.",Hommes+,Transport actif,5.2
2021,"Thunder Bay (RMR), Ont.",Femmes+,Transport durable,8.9
2021,"Thunder Bay (RMR), Ont.",Femmes+,Transport en commun,3.4
2021,"Thunder Bay (RMR), Ont.",Femmes+,Transport actif,5.6
2021,"Toronto (RMR), Ont.",Total,Transport durable,21.3
2021,"Toronto (RMR), Ont.",Total,Transport en commun,15.6
2021,"Toronto (RMR), Ont.",Total,Transport actif,5.7
2021,"Toronto (RMR), Ont.",Hommes+,Transport durable,16.5
2021,"Toronto (RMR), Ont.",Hommes+,Transport en commun,11.6
2021,"Toronto (RMR), Ont.",Hommes+,Transport actif,4.9
2021,"Toronto (RMR), Ont.",Femmes+,Transport durable,27.1
2021,"Toronto (RMR), Ont.",Femmes+,Transport en commun,20.5
2021,"Toronto (RMR), Ont.",Femmes+,Transport actif,6.6
2021,"Windsor (RMR), Ont.",Total,Transport durable,5.3
2021,"Windsor (RMR), Ont.",Total,Transport en commun,2.0
2021,"Windsor (RMR), Ont.",Total,Transport actif,3.3
2021,"Windsor (RMR), Ont.",Hommes+,Transport durable,5.4
2021,"Windsor (RMR), Ont.",Hommes+,Transport en commun,2.0
2021,"Windsor (RMR), Ont.",Hommes+,Transport actif,3.4
2021,"Windsor (RMR), Ont.",Femmes+,Transport durable,5.2
2021,"Windsor (RMR), Ont.",Femmes+,Transport en commun,2.0
2021,"Windsor (RMR), Ont.",Femmes+,Transport actif,3.2
2021,Manitoba,Total,Transport durable,12.0
2021,Manitoba,Total,Transport en commun,5.7
2021,Manitoba,Total,Transport actif,6.3
2021,Manitoba,Hommes+,Transport durable,10.1
2021,Manitoba,Hommes+,Transport en commun,4.4
2021,Manitoba,Hommes+,Transport actif,5.8
2021,Manitoba,Femmes+,Transport durable,14.2
2021,Manitoba,Femmes+,Transport en commun,7.2
2021,Manitoba,Femmes+,Transport actif,7.0
2021,"Winnipeg (RMR), Man.",Total,Transport durable,14.1
2021,"Winnipeg (RMR), Man.",Total,Transport en commun,8.4
2021,"Winnipeg (RMR), Man.",Total,Transport actif,5.7
2021,"Winnipeg (RMR), Man.",Hommes+,Transport durable,11.7
2021,"Winnipeg (RMR), Man.",Hommes+,Transport en commun,6.4
2021,"Winnipeg (RMR), Man.",Hommes+,Transport actif,5.2
2021,"Winnipeg (RMR), Man.",Femmes+,Transport durable,16.9
2021,"Winnipeg (RMR), Man.",Femmes+,Transport en commun,10.7
2021,"Winnipeg (RMR), Man.",Femmes+,Transport actif,6.2
2021,Saskatchewan,Total,Transport durable,7.7
2021,Saskatchewan,Total,Transport en commun,1.8
2021,Saskatchewan,Total,Transport actif,5.8
2021,Saskatchewan,Hommes+,Transport durable,6.3
2021,Saskatchewan,Hommes+,Transport en commun,1.3
2021,Saskatchewan,Hommes+,Transport actif,5.0
2021,Saskatchewan,Femmes+,Transport durable,9.2
2021,Saskatchewan,Femmes+,Transport en commun,2.4
2021,Saskatchewan,Femmes+,Transport actif,6.8
2021,"Regina (RMR), Sask.",Total,Transport durable,7.4
2021,"Regina (RMR), Sask.",Total,Transport en commun,3.3
2021,"Regina (RMR), Sask.",Total,Transport actif,4.1
2021,"Regina (RMR), Sask.",Hommes+,Transport durable,5.9
2021,"Regina (RMR), Sask.",Hommes+,Transport en commun,2.4
2021,"Regina (RMR), Sask.",Hommes+,Transport actif,3.5
2021,"Regina (RMR), Sask.",Femmes+,Transport durable,9.1
2021,"Regina (RMR), Sask.",Femmes+,Transport en commun,4.3
2021,"Regina (RMR), Sask.",Femmes+,Transport actif,4.8
2021,"Saskatoon (RMR), Sask.",Total,Transport durable,7.8
2021,"Saskatoon (RMR), Sask.",Total,Transport en commun,2.9
2021,"Saskatoon (RMR), Sask.",Total,Transport actif,5.0
2021,"Saskatoon (RMR), Sask.",Hommes+,Transport durable,6.5
2021,"Saskatoon (RMR), Sask.",Hommes+,Transport en commun,1.9
2021,"Saskatoon (RMR), Sask.",Hommes+,Transport actif,4.6
2021,"Saskatoon (RMR), Sask.",Femmes+,Transport durable,9.3
2021,"Saskatoon (RMR), Sask.",Femmes+,Transport en commun,3.9
2021,"Saskatoon (RMR), Sask.",Femmes+,Transport actif,5.4
2021,Alberta,Total,Transport durable,10.3
2021,Alberta,Total,Transport en commun,5.6
2021,Alberta,Total,Transport actif,4.7
2021,Alberta,Hommes+,Transport durable,8.7
2021,Alberta,Hommes+,Transport en commun,4.6
2021,Alberta,Hommes+,Transport actif,4.1
2021,Alberta,Femmes+,Transport durable,12.1
2021,Alberta,Femmes+,Transport en commun,6.7
2021,Alberta,Femmes+,Transport actif,5.4
2021,"Calgary (RMR), Alb.",Total,Transport durable,12.7
2021,"Calgary (RMR), Alb.",Total,Transport en commun,7.9
2021,"Calgary (RMR), Alb.",Total,Transport actif,4.9
2021,"Calgary (RMR), Alb.",Hommes+,Transport durable,10.9
2021,"Calgary (RMR), Alb.",Hommes+,Transport en commun,6.3
2021,"Calgary (RMR), Alb.",Hommes+,Transport actif,4.5
2021,"Calgary (RMR), Alb.",Femmes+,Transport durable,14.9
2021,"Calgary (RMR), Alb.",Femmes+,Transport en commun,9.7
2021,"Calgary (RMR), Alb.",Femmes+,Transport actif,5.2
2021,"Edmonton (RMR), Alb.",Total,Transport durable,10.2
2021,"Edmonton (RMR), Alb.",Total,Transport en commun,6.1
2021,"Edmonton (RMR), Alb.",Total,Transport actif,4.0
2021,"Edmonton (RMR), Alb.",Hommes+,Transport durable,7.9
2021,"Edmonton (RMR), Alb.",Hommes+,Transport en commun,4.4
2021,"Edmonton (RMR), Alb.",Hommes+,Transport actif,3.5
2021,"Edmonton (RMR), Alb.",Femmes+,Transport durable,12.9
2021,"Edmonton (RMR), Alb.",Femmes+,Transport en commun,8.2
2021,"Edmonton (RMR), Alb.",Femmes+,Transport actif,4.7
2021,"Lethbridge (RMR), Alb.",Total,Transport durable,6.3
2021,"Lethbridge (RMR), Alb.",Total,Transport en commun,1.9
2021,"Lethbridge (RMR), Alb.",Total,Transport actif,4.4
2021,"Lethbridge (RMR), Alb.",Hommes+,Transport durable,5.5
2021,"Lethbridge (RMR), Alb.",Hommes+,Transport en commun,1.3
2021,"Lethbridge (RMR), Alb.",Hommes+,Transport actif,4.2
2021,"Lethbridge (RMR), Alb.",Femmes+,Transport durable,7.2
2021,"Lethbridge (RMR), Alb.",Femmes+,Transport en commun,2.6
2021,"Lethbridge (RMR), Alb.",Femmes+,Transport actif,4.6
2021,Colombie-Britannique,Total,Transport durable,17.7
2021,Colombie-Britannique,Total,Transport en commun,9.3
2021,Colombie-Britannique,Total,Transport actif,8.5
2021,Colombie-Britannique,Hommes+,Transport durable,14.7
2021,Colombie-Britannique,Hommes+,Transport en commun,7.3
2021,Colombie-Britannique,Hommes+,Transport actif,7.5
2021,Colombie-Britannique,Femmes+,Transport durable,21.2
2021,Colombie-Britannique,Femmes+,Transport en commun,11.6
2021,Colombie-Britannique,Femmes+,Transport actif,9.6
2021,"Abbotsford - Mission (RMR), C.-B.",Total,Transport durable,6.2
2021,"Abbotsford - Mission (RMR), C.-B.",Total,Transport en commun,2.4
2021,"Abbotsford - Mission (RMR), C.-B.",Total,Transport actif,3.8
2021,"Abbotsford - Mission (RMR), C.-B.",Hommes+,Transport durable,4.9
2021,"Abbotsford - Mission (RMR), C.-B.",Hommes+,Transport en commun,1.7
2021,"Abbotsford - Mission (RMR), C.-B.",Hommes+,Transport actif,3.2
2021,"Abbotsford - Mission (RMR), C.-B.",Femmes+,Transport durable,7.8
2021,"Abbotsford - Mission (RMR), C.-B.",Femmes+,Transport en commun,3.2
2021,"Abbotsford - Mission (RMR), C.-B.",Femmes+,Transport actif,4.5
2021,"Kelowna (RMR), C.-B.",Total,Transport durable,10.6
2021,"Kelowna (RMR), C.-B.",Total,Transport en commun,3.2
2021,"Kelowna (RMR), C.-B.",Total,Transport actif,7.4
2021,"Kelowna (RMR), C.-B.",Hommes+,Transport durable,9.0
2021,"Kelowna (RMR), C.-B.",Hommes+,Transport en commun,2.4
2021,"Kelowna (RMR), C.-B.",Hommes+,Transport actif,6.6
2021,"Kelowna (RMR), C.-B.",Femmes+,Transport durable,12.3
2021,"Kelowna (RMR), C.-B.",Femmes+,Transport en commun,4.1
2021,"Kelowna (RMR), C.-B.",Femmes+,Transport actif,8.3
2021,"Vancouver (RMR), C.-B.",Total,Transport durable,23.2
2021,"Vancouver (RMR), C.-B.",Total,Transport en commun,14.9
2021,"Vancouver (RMR), C.-B.",Total,Transport actif,8.2
2021,"Vancouver (RMR), C.-B.",Hommes+,Transport durable,18.7
2021,"Vancouver (RMR), C.-B.",Hommes+,Transport en commun,11.5
2021,"Vancouver (RMR), C.-B.",Hommes+,Transport actif,7.1
2021,"Vancouver (RMR), C.-B.",Femmes+,Transport durable,28.2
2021,"Vancouver (RMR), C.-B.",Femmes+,Transport en commun,18.7
2021,"Vancouver (RMR), C.-B.",Femmes+,Transport actif,9.5
2021,"Victoria (RMR), C.-B.",Total,Transport durable,23.0
2021,"Victoria (RMR), C.-B.",Total,Transport en commun,7.7
2021,"Victoria (RMR), C.-B.",Total,Transport actif,15.3
2021,"Victoria (RMR), C.-B.",Hommes+,Transport durable,21.4
2021,"Victoria (RMR), C.-B.",Hommes+,Transport en commun,6.3
2021,"Victoria (RMR), C.-B.",Hommes+,Transport actif,15.2
2021,"Victoria (RMR), C.-B.",Femmes+,Transport durable,24.8
2021,"Victoria (RMR), C.-B.",Femmes+,Transport en commun,9.3
2021,"Victoria (RMR), C.-B.",Femmes+,Transport actif,15.5
2021,Yukon,Total,Transport durable,13.5
2021,Yukon,Total,Transport en commun,2.5
2021,Yukon,Total,Transport actif,11.1
2021,Yukon,Hommes+,Transport durable,12.1
2021,Yukon,Hommes+,Transport en commun,2.1
2021,Yukon,Hommes+,Transport actif,10.0
2021,Yukon,Femmes+,Transport durable,15.0
2021,Yukon,Femmes+,Transport en commun,2.9
2021,Yukon,Femmes+,Transport actif,12.2
2021,Territoires du Nord-Ouest,Total,Transport durable,21.7
2021,Territoires du Nord-Ouest,Total,Transport en commun,0.8
2021,Territoires du Nord-Ouest,Total,Transport actif,20.9
2021,Territoires du Nord-Ouest,Hommes+,Transport durable,19.3
2021,Territoires du Nord-Ouest,Hommes+,Transport en commun,0.8
2021,Territoires du Nord-Ouest,Hommes+,Transport actif,18.6
2021,Territoires du Nord-Ouest,Femmes+,Transport durable,24.2
2021,Territoires du Nord-Ouest,Femmes+,Transport en commun,0.7
2021,Territoires du Nord-Ouest,Femmes+,Transport actif,23.6
2021,Nunavut,Total,Transport durable,37.0
2021,Nunavut,Total,Transport en commun,0.9
2021,Nunavut,Total,Transport actif,36.1
2021,Nunavut,Hommes+,Transport durable,33.5
2021,Nunavut,Hommes+,Transport en commun,1.0
2021,Nunavut,Hommes+,Transport actif,32.5
2021,Nunavut,Femmes+,Transport durable,40.5
2021,Nunavut,Femmes+,Transport en commun,0.8
2021,Nunavut,Femmes+,Transport actif,39.7
