Year,Industries,Environmental protection activities or management practices,Value
2021,Oil and gas extraction,Protection of biodiversity and habitat,33.8
2021,Oil and gas extraction,Noise and vibration abatement,29.8
2021,Mining and quarrying,"Total, environmental protection activities",100.0
2021,Mining and quarrying,Wastewater management,92.6
2021,Mining and quarrying,Air pollution management,72.8
2021,Mining and quarrying,"Protection and remediation of soil, groundwater and surface water",77.8
2021,Mining and quarrying,Protection of biodiversity and habitat,58.0
2021,Mining and quarrying,Noise and vibration abatement,30.9
2021,"Electric power generation, transmission and distribution","Total, environmental protection activities",85.8
2021,"Electric power generation, transmission and distribution",Wastewater management,77.9
2021,"Electric power generation, transmission and distribution",Air pollution management,36.2
2021,"Electric power generation, transmission and distribution","Protection and remediation of soil, groundwater and surface water",30.5
2021,"Electric power generation, transmission and distribution",Protection of biodiversity and habitat,27.5
2021,"Electric power generation, transmission and distribution",Noise and vibration abatement,12.7
2021,Natural gas distribution,"Total, environmental protection activities",50.0
2021,Natural gas distribution,Wastewater management,39.3
2021,Natural gas distribution,Air pollution management,28.6
2021,Natural gas distribution,"Protection and remediation of soil, groundwater and surface water",21.4
2021,Natural gas distribution,Protection of biodiversity and habitat,14.3
2021,Natural gas distribution,Noise and vibration abatement,17.9
2021,Food manufacturing,"Total, environmental protection activities",94.0
