Year,Géographie,Infractions,GeoCode,Value
2020,Île-du-Prince-Édouard,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.25
2015,Île-du-Prince-Édouard,Agression sexuelle de niveau 1,,48.43
2016,Île-du-Prince-Édouard,Agression sexuelle de niveau 1,,48.31
2017,Île-du-Prince-Édouard,Agression sexuelle de niveau 1,,45.88
2018,Île-du-Prince-Édouard,Agression sexuelle de niveau 1,,68.45
2019,Île-du-Prince-Édouard,Agression sexuelle de niveau 1,,83.94
2020,Île-du-Prince-Édouard,Agression sexuelle de niveau 1,,70.79
2015,Île-du-Prince-Édouard,Total des infractions sexuelles contre les enfants,,15.91
2016,Île-du-Prince-Édouard,Total des infractions sexuelles contre les enfants,,23.13
2017,Île-du-Prince-Édouard,Total des infractions sexuelles contre les enfants,,18.62
2018,Île-du-Prince-Édouard,Total des infractions sexuelles contre les enfants,,23.47
2019,Île-du-Prince-Édouard,Total des infractions sexuelles contre les enfants,,33.07
2020,Île-du-Prince-Édouard,Total des infractions sexuelles contre les enfants,,26.94
2015,Île-du-Prince-Édouard,Voies de fait graves (niveau 3),,4.15
2016,Île-du-Prince-Édouard,Voies de fait graves (niveau 3),,4.08
2017,Île-du-Prince-Édouard,Voies de fait graves (niveau 3),,4.65
2018,Île-du-Prince-Édouard,Voies de fait graves (niveau 3),,1.96
2019,Île-du-Prince-Édouard,Voies de fait graves (niveau 3),,1.91
2020,Île-du-Prince-Édouard,Voies de fait graves (niveau 3),,3.13
2015,Île-du-Prince-Édouard,Voies de fait armées ou causant des lésions corporelles (niveau 2),,62.26
2016,Île-du-Prince-Édouard,Voies de fait armées ou causant des lésions corporelles (niveau 2),,66.0
2017,Île-du-Prince-Édouard,Voies de fait armées ou causant des lésions corporelles (niveau 2),,79.79
2018,Île-du-Prince-Édouard,Voies de fait armées ou causant des lésions corporelles (niveau 2),,69.1
2019,Île-du-Prince-Édouard,Voies de fait armées ou causant des lésions corporelles (niveau 2),,67.4
2020,Île-du-Prince-Édouard,Voies de fait armées ou causant des lésions corporelles (niveau 2),,65.78
2015,Île-du-Prince-Édouard,Voies de fait simples (niveau 1),,312.7
2016,Île-du-Prince-Édouard,Voies de fait simples (niveau 1),,335.44
2017,Île-du-Prince-Édouard,Voies de fait simples (niveau 1),,383.64
2018,Île-du-Prince-Édouard,Voies de fait simples (niveau 1),,413.96
2019,Île-du-Prince-Édouard,Voies de fait simples (niveau 1),,467.37
2020,Île-du-Prince-Édouard,Voies de fait simples (niveau 1),,394.68
2015,Île-du-Prince-Édouard,Total des vols qualifiés,,11.07
2016,Île-du-Prince-Édouard,Total des vols qualifiés,,12.25
2017,Île-du-Prince-Édouard,Total des vols qualifiés,,11.97
2018,Île-du-Prince-Édouard,Total des vols qualifiés,,13.69
2019,Île-du-Prince-Édouard,Total des vols qualifiés,,15.26
2020,Île-du-Prince-Édouard,Total des vols qualifiés,,5.01
2015,Île-du-Prince-Édouard,Menaces,,140.44
2016,Île-du-Prince-Édouard,Menaces,,153.77
2017,Île-du-Prince-Édouard,Menaces,,179.52
2018,Île-du-Prince-Édouard,Menaces,,224.91
2019,Île-du-Prince-Édouard,Menaces,,266.43
2020,Île-du-Prince-Édouard,Menaces,,306.97
2015,Île-du-Prince-Édouard,Total des autres infractions avec violence,,13.84
2016,Île-du-Prince-Édouard,Total des autres infractions avec violence,,4.08
2017,Île-du-Prince-Édouard,Total des autres infractions avec violence,,4.65
2018,Île-du-Prince-Édouard,Total des autres infractions avec violence,,14.34
2019,Île-du-Prince-Édouard,Total des autres infractions avec violence,,21.62
2020,Île-du-Prince-Édouard,Total des autres infractions avec violence,,25.69
2015,Nouvelle-Écosse,Total des infractions,12,5727.24
2016,Nouvelle-Écosse,Total des infractions,12,5589.79
2017,Nouvelle-Écosse,Total des infractions,12,5731.87
2018,Nouvelle-Écosse,Total des infractions,12,5685.69
