Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Île-du-Prince-Édouard,Autres matières,Sources des matières non résidentielles récupérées,11,1.355967561
2018,Nouvelle-Écosse,Toutes les matières,Toutes les sources des matières récupérées,12,330.4319881
2018,Nouvelle-Écosse,Toutes les matières,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Toutes les matières,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,12,76.65018792
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,12,41.59928047
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,12,35.05090744
2018,Nouvelle-Écosse,Verre,Toutes les sources des matières récupérées,12,4.365582018
2018,Nouvelle-Écosse,Verre,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Verre,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Métaux ferreux,Toutes les sources des matières récupérées,12,5.776257661
2018,Nouvelle-Écosse,Métaux ferreux,Sources des matières résidentielles récupérées,12,5.35055081
2018,Nouvelle-Écosse,Métaux ferreux,Sources des matières non résidentielles récupérées,12,0.425706851
2018,Nouvelle-Écosse,Cuivre et aluminium,Toutes les sources des matières récupérées,12,0.474746611
2018,Nouvelle-Écosse,Cuivre et aluminium,Sources des matières résidentielles récupérées,12,0.442401237
2018,Nouvelle-Écosse,Cuivre et aluminium,Sources des matières non résidentielles récupérées,12,0.032345373
2018,Nouvelle-Écosse,Métaux mélangés,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Métaux mélangés,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Métaux mélangés,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Électroménagers,Toutes les sources des matières récupérées,12,1.143565462
2018,Nouvelle-Écosse,Électroménagers,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Électroménagers,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matériel électronique,Toutes les sources des matières récupérées,12,3.306531887
2018,Nouvelle-Écosse,Matériel électronique,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matériel électronique,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matières plastiques,Toutes les sources des matières récupérées,12,15.67289854
2018,Nouvelle-Écosse,Matières plastiques,Sources des matières résidentielles récupérées,12,11.19045582
2018,Nouvelle-Écosse,Matières plastiques,Sources des matières non résidentielles récupérées,12,4.482442723
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,12,1.099742698
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,12,1.014183968
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,12,0.08555873
2018,Nouvelle-Écosse,Textiles,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Textiles,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Textiles,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Pneus,Toutes les sources des matières récupérées,12,14.89139258
2018,Nouvelle-Écosse,Pneus,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Pneus,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,"data.Construction, renovation and demolition",Toutes les sources des matières récupérées,12,51.74633715
2018,Nouvelle-Écosse,"data.Construction, renovation and demolition",Sources des matières résidentielles récupérées,12,5.484105901
2018,Nouvelle-Écosse,"data.Construction, renovation and demolition",Sources des matières non résidentielles récupérées,12,46.26327465
2018,Nouvelle-Écosse,Matières organiques,Toutes les sources des matières récupérées,12,154.7861762
2018,Nouvelle-Écosse,Matières organiques,Sources des matières résidentielles récupérées,12,101.4131798
2018,Nouvelle-Écosse,Matières organiques,Sources des matières non résidentielles récupérées,12,53.37299641
2018,Nouvelle-Écosse,Autres matières,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Autres matières,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Autres matières,Sources des matières non résidentielles récupérées,12,
2018,Nouveau-Brunswick,Toutes les matières,Toutes les sources des matières récupérées,13,212.5662566
2018,Nouveau-Brunswick,Toutes les matières,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Toutes les matières,Sources des matières non résidentielles récupérées,13,
