Year,Géographie,Sources des déchets à des fins d'élimination,Value
2018,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,351.8
2018,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,217.9
2018,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,133.9
2002,Québec,Toutes les sources de déchets à des fins d'élimination,785.6
2004,Québec,Toutes les sources de déchets à des fins d'élimination,856.5
2006,Québec,Toutes les sources de déchets à des fins d'élimination,892.1
2008,Québec,Toutes les sources de déchets à des fins d'élimination,791.9
2010,Québec,Toutes les sources de déchets à des fins d'élimination,730.9
2012,Québec,Toutes les sources de déchets à des fins d'élimination,692.8
2014,Québec,Toutes les sources de déchets à des fins d'élimination,664.3
2016,Québec,Toutes les sources de déchets à des fins d'élimination,651.1
2018,Québec,Toutes les sources de déchets à des fins d'élimination,662.1
2002,Québec,Sources de déchets résidentielles à des fins d'élimination,533.6
2004,Québec,Sources de déchets résidentielles à des fins d'élimination,563.3
2006,Québec,Sources de déchets résidentielles à des fins d'élimination,501.6
2008,Québec,Sources de déchets résidentielles à des fins d'élimination,424.8
2010,Québec,Sources de déchets résidentielles à des fins d'élimination,371.1
2012,Québec,Sources de déchets résidentielles à des fins d'élimination,345.0
2014,Québec,Sources de déchets résidentielles à des fins d'élimination,316.9
2016,Québec,Sources de déchets résidentielles à des fins d'élimination,285.2
2018,Québec,Sources de déchets résidentielles à des fins d'élimination,277.5
2002,Québec,Sources de déchets non résidentielles à des fins d'élimination,252.0
2004,Québec,Sources de déchets non résidentielles à des fins d'élimination,293.1
2006,Québec,Sources de déchets non résidentielles à des fins d'élimination,390.5
2008,Québec,Sources de déchets non résidentielles à des fins d'élimination,367.0
2010,Québec,Sources de déchets non résidentielles à des fins d'élimination,359.8
2012,Québec,Sources de déchets non résidentielles à des fins d'élimination,347.8
2014,Québec,Sources de déchets non résidentielles à des fins d'élimination,347.4
2016,Québec,Sources de déchets non résidentielles à des fins d'élimination,365.9
2018,Québec,Sources de déchets non résidentielles à des fins d'élimination,384.6
2002,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,797.7
2004,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,797.1
2006,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,840.2
2008,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,887.5
2010,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,891.4
2012,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,883.7
2014,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,845.1
2016,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,790.9
2018,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,744.3
2002,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,518.1
2004,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,516.9
2006,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,541.9
2008,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,602.7
2010,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,621.6
2012,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,592.1
2014,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,547.3
2016,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,488.5
2018,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,416.2
2002,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,279.6
2004,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,280.2
2006,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,298.4
2008,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,284.8
2010,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,269.8
2012,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,291.6
2014,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,297.8
2016,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,302.4
2018,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,328.1
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,731.3
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,467.7
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,263.6
