Year,Géographie,Actif,GeoCode,Value
2015,Île-du-Prince-Édouard,Structures de support pour la transmission,11,48.4
2015,Île-du-Prince-Édouard,Autres structures de communication,11,50.3
2015,Île-du-Prince-Édouard,Infrastructure liées à l'énergie électrique,11,68.1
2015,Île-du-Prince-Édouard,Centrales éoliennes et panneaux solaires,11,75.0
2015,Île-du-Prince-Édouard,Centrale énergétique thermale,11,66.0
2015,Île-du-Prince-Édouard,Réseaux de transport d'électricité,11,67.8
2015,Île-du-Prince-Édouard,Réseau de distribution d'électricité,11,66.4
2015,Île-du-Prince-Édouard,Autres constructions de l'énergie électrique,11,75.0
2015,Île-du-Prince-Édouard,Construction liée aux installations de pétrole et de gaz,11,62.8
2015,Île-du-Prince-Édouard,Oléoducs,11,62.8
2015,Île-du-Prince-Édouard,Autres travaux de génie,11,54.3
2015,Île-du-Prince-Édouard,Installations d'élimination des déchets,11,56.3
2015,Île-du-Prince-Édouard,Installations récréatives de plein air,11,52.1
2015,Île-du-Prince-Édouard,Dépollution,11,50.7
2015,Île-du-Prince-Édouard,Autres machines et matériel,11,53.2
2015,Île-du-Prince-Édouard,"Turbines, turbogénérateurs et groupes générateurs de turbine",11,65.7
2015,Île-du-Prince-Édouard,Matériel de traitement de l'eau,11,36.5
2015,Île-du-Prince-Édouard,Transformateurs de puissance et de distribution,11,51.7
2015,Île-du-Prince-Édouard,Machines et matériel de transport,11,62.7
2015,Île-du-Prince-Édouard,Autobus,11,61.5
2015,Île-du-Prince-Édouard,"Locomotives, matériel ferroviaire roulant et de transport en commun rapide",11,63.8
2015,Nouvelle-Écosse,Total des actifs,12,53.5
2015,Nouvelle-Écosse,Immeubles commerciaux,12,63.1
2015,Nouvelle-Écosse,Installations sportives avec capacité d'accueil de spectateurs,12,64.8
2015,Nouvelle-Écosse,Installations récréatives intérieures,12,65.3
2015,Nouvelle-Écosse,Résidences d'étudiants,12,64.2
2015,Nouvelle-Écosse,Aéroports et autres gares de voyageurs,12,60.0
2015,Nouvelle-Écosse,Édifices de communications,12,60.0
2015,Nouvelle-Écosse,Bâtiments institutionnels,12,55.8
2015,Nouvelle-Écosse,"Écoles, collèges, universités et autres bâtiments d'enseignement",12,58.2
2015,Nouvelle-Écosse,Hôpitaux,12,52.2
2015,Nouvelle-Écosse,Maisons de soins infirmiers et résidences pour personnes âgées,12,52.8
2015,Nouvelle-Écosse,Centres religieux et lieux commémoratifs,12,43.9
2015,Nouvelle-Écosse,Musées,12,48.5
2015,Nouvelle-Écosse,Lieux historiques,12,48.6
2015,Nouvelle-Écosse,Bibliothèques,12,51.2
2015,Nouvelle-Écosse,Installations de sécurité publique,12,50.1
2015,Nouvelle-Écosse,Infrastructures de génie maritime,12,39.5
2015,Nouvelle-Écosse,Ports de mer,12,35.4
2015,Nouvelle-Écosse,Ports de plaisance et ports de commerce,12,44.2
2015,Nouvelle-Écosse,Canaux et voies navigables,12,42.8
2015,Nouvelle-Écosse,Autres infrastructures de génie maritime,12,45.5
2015,Nouvelle-Écosse,Infrastructures de génie liées aux transports,12,57.1
2015,Nouvelle-Écosse,Structures et réseaux autoroutiers et routiers,12,56.9
2015,Nouvelle-Écosse,Ponts,12,61.5
2015,Nouvelle-Écosse,Tunnels,12,54.4
2015,Nouvelle-Écosse,Lignes de chemins de fer,12,55.9
2015,Nouvelle-Écosse,Pistes d'atterrissage et de décollage,12,53.5
