Year,Géographie,Actifs d'infrastructures publiques essentielles,Type de municipalité par taille de population,GeoCode,Value
2016,Saskatchewan,Eau potable,Toutes les municipalités,47,14.29
2016,Saskatchewan,Eau potable,Toutes les municipalités urbaines,47,21.15
2016,Saskatchewan,Eau potable,"Municipalités urbaines, population de 1 à 4 999",47,17.95
2016,Saskatchewan,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",47,11.11
2016,Saskatchewan,Eau potable,"Municipalités urbaines, population de 30 000 et plus",47,75.0
2016,Saskatchewan,Eau potable,Toutes les municipalités rurales,47,10.0
2016,Saskatchewan,Eau potable,"Municipalités rurales, population 1 à 4 999",47,10.53
2016,Saskatchewan,Eau potable,"Municipalités rurales, population 5 000 et plus",47,0.0
2016,Saskatchewan,Eaux pluviales,Toutes les municipalités,47,31.87
2016,Saskatchewan,Eaux pluviales,Toutes les municipalités urbaines,47,41.03
2016,Saskatchewan,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",47,34.62
2016,Saskatchewan,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",47,44.44
2016,Saskatchewan,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",47,75.0
2016,Saskatchewan,Eaux pluviales,Toutes les municipalités rurales,47,25.0
2016,Saskatchewan,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",47,24.49
2016,Saskatchewan,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",47,33.33
2016,Saskatchewan,Eaux usées,Toutes les municipalités,47,24.27
2016,Saskatchewan,Eaux usées,Toutes les municipalités urbaines,47,39.13
2016,Saskatchewan,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",47,41.18
2016,Saskatchewan,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",47,12.5
2016,Saskatchewan,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",47,75.0
2016,Saskatchewan,Eaux usées,Toutes les municipalités rurales,47,12.07
2016,Saskatchewan,Eaux usées,"Municipalités rurales, population 1 à 4 999",47,10.91
2016,Saskatchewan,Eaux usées,"Municipalités rurales, population 5 000 et plus",47,33.33
2016,Saskatchewan,Déchets solides,Toutes les municipalités,47,11.0
2016,Saskatchewan,Déchets solides,Toutes les municipalités urbaines,47,19.44
2016,Saskatchewan,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",47,16.0
2016,Saskatchewan,Déchets solides,"Municipalités urbaines, population de 5 000 à 29 999",47,14.29
2016,Saskatchewan,Déchets solides,"Municipalités urbaines, population de 30 000 et plus",47,50.0
2016,Saskatchewan,Déchets solides,Toutes les municipalités rurales,47,6.35
