Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2024,Terre-Neuve-et-Labrador,Électrique,10,131
2025,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,154
2025,Terre-Neuve-et-Labrador,Électrique,10,152
2025,Terre-Neuve-et-Labrador,Propane,10,2
2015,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,1
2015,Territoires du Nord-Ouest,Propane,61,1
2020,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,2
2020,Territoires du Nord-Ouest,Électrique,61,1
2023,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,3
2023,Territoires du Nord-Ouest,Électrique,61,2
2024,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,8
2024,Territoires du Nord-Ouest,Électrique,61,7
2025,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,14
2025,Territoires du Nord-Ouest,Électrique,61,13
2012,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,1
2012,Nouvelle-Écosse,Électrique,12,1
2013,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,4
2013,Nouvelle-Écosse,Électrique,12,3
2013,Nouvelle-Écosse,Propane,12,1
2014,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,10
2014,Nouvelle-Écosse,Électrique,12,9
2015,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,22
2015,Nouvelle-Écosse,Électrique,12,20
2015,Nouvelle-Écosse,Propane,12,2
2016,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,24
2016,Nouvelle-Écosse,Électrique,12,22
2017,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,27
2017,Nouvelle-Écosse,Électrique,12,25
2018,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,28
2018,Nouvelle-Écosse,Électrique,12,26
2019,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,47
2019,Nouvelle-Écosse,Électrique,12,45
2020,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,55
2020,Nouvelle-Écosse,Électrique,12,53
2021,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,77
2021,Nouvelle-Écosse,Électrique,12,74
2021,Nouvelle-Écosse,Propane,12,3
2022,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,149
2022,Nouvelle-Écosse,Électrique,12,145
2022,Nouvelle-Écosse,Propane,12,4
2023,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,225
2023,Nouvelle-Écosse,Électrique,12,221
2024,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,272
2024,Nouvelle-Écosse,Électrique,12,268
2025,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,298
2025,Nouvelle-Écosse,Électrique,12,293
2025,Nouvelle-Écosse,Propane,12,5
2010,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,30
2010,Ontario,Électrique,35,2
2010,Ontario,Propane,35,28
2011,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,38
2011,Ontario,Électrique,35,10
2012,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,48
2012,Ontario,Électrique,35,20
2013,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,68
2013,Ontario,Électrique,35,38
2013,Ontario,Propane,35,30
2014,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,104
2014,Ontario,Gaz naturel comprimé,35,1
2014,Ontario,Électrique,35,72
2014,Ontario,Propane,35,31
2015,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,191
2015,Ontario,Gaz naturel comprimé,35,2
2015,Ontario,Électrique,35,157
2015,Ontario,Propane,35,32
2016,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,238
2016,Ontario,Électrique,35,202
2016,Ontario,Hydrogène,35,1
2016,Ontario,Propane,35,33
